,number,model_name,slump,allStarts,bb,rb,judge
229,2230,マイジャグラーⅣ／ＫＥ,1063,8398,31,30,win
230,2231,マイジャグラーⅣ／ＫＥ,814,7159,31,15,win
231,2232,マイジャグラーⅣ／ＫＥ,-846,7670,24,22,lose
232,2233,マイジャグラーⅣ／ＫＥ,-1746,6994,20,19,lose
233,2234,マイジャグラーⅣ／ＫＥ,-3023,8576,19,27,lose
234,2235,マイジャグラーⅣ／ＫＥ,-19,9805,34,33,lose
235,2236,マイジャグラーⅣ／ＫＥ,-859,7881,27,16,lose
236,2237,マイジャグラーⅣ／ＫＥ,907,9942,34,36,win
237,2238,マイジャグラーⅣ／ＫＥ,-4139,8077,16,23,lose
238,2239,マイジャグラーⅣ／ＫＥ,-2484,7833,21,21,lose
239,2240,マイジャグラーⅣ／ＫＥ,2146,8813,38,23,win
240,2241,マイジャグラーⅣ／ＫＥ,-998,5992,20,15,lose
241,2242,マイジャグラーⅣ／ＫＥ,1298,8717,35,19,win
242,2243,マイジャグラーⅣ／ＫＥ,-461,7732,27,28,lose
243,2244,マイジャグラーⅣ／ＫＥ,-141,8155,26,31,lose
244,2245,マイジャグラーⅣ／ＫＥ,-1384,6302,17,20,lose
245,2246,マイジャグラーⅣ／ＫＥ,301,8986,30,33,win
246,2247,マイジャグラーⅣ／ＫＥ,3306,10520,41,47,win
247,2248,マイジャグラーⅣ／ＫＥ,-384,7212,24,21,lose
248,2249,マイジャグラーⅣ／ＫＥ,-935,6793,23,20,lose
249,2250,マイジャグラーⅣ／ＫＥ,4539,9795,45,39,win
250,2251,マイジャグラーⅣ／ＫＥ,120,6067,24,12,win
251,2252,マイジャグラーⅣ／ＫＥ,3871,9861,44,39,win
252,2253,マイジャグラーⅣ／ＫＥ,-2044,6013,13,22,lose
253,2254,マイジャグラーⅣ／ＫＥ,2357,9192,41,20,win
254,2255,マイジャグラーⅣ／ＫＥ,-610,8456,31,25,lose
255,2256,マイジャグラーⅣ／ＫＥ,-679,4846,16,12,lose
256,2257,マイジャグラーⅣ／ＫＥ,-2767,7122,19,14,lose
257,2258,マイジャグラーⅣ／ＫＥ,895,8827,35,30,win
